Category,Surveillance Type,Contractor Name,Component - Funding,2026 Obligations,2025 Obligations,2024 Obligations,2023 Obligations,2022 Obligations,2021 Obligations (after Jan. 19)
Type of Biometric Collection or Technology,Facial recognition,NEC Corporation,OBIM,,8000000,8000000,8000000,8000000,8000000
Type of Biometric Collection or Technology,Facial recognition,Clearview AI,"ICE, CBP",,3800000,1100000,788000,1000000,500000
Type of Biometric Collection or Technology,Iris scans,Bi2 Technologies,ICE,29700000,,,,,
Type of Biometric Collection or Technology,Fingerprints,Aware,CBP,,,232000,232000,332000,332000
Type of Biometric Collection or Technology,Fingerprints,NEC Corporation,ICE,,447000,,235000,,
Type of Biometric Collection or Technology,Fingerprints,Mosa Technology Solutions,ICE,34000,,,,,
Type of Biometric Collection or Technology,DNA tests,SNA International (ICE; Science and Technology Directorate (S&T)),,,6200000,,,25000,707000
Type of Biometric Collection or Technology,Integrated biometrics,Panamerica Computers,CBP,,,944000,989000,861000,11000
Type of Biometric Collection or Technology,Integrated biometrics,NEC Corporation,Secret Service,,199000,387000,375000,396000,385000
Type of Biometric Collection or Technology,Integrated biometrics,Parsons,ICE,,557000,,526000,,
Type of Biometric Collection or Technology,Integrated biometrics,Intellisense Systems,S&T,,175000,,,,
Type of Biometric Collection or Technology,Integrated biometrics,Idea Mind,S&T,,174000,,,,
Type of Biometric Collection or Technology,Integrated biometrics,Integrated Biometrics,S&T,,167000,,,,
Type of Biometric Collection or Technology,Integrated biometrics,Enterprise Technology Solutions,ICE,,88000,,,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,Amentum,USCIS,,79500000,65700000,48900000,,
Type of Biometric Collection or Technology,IDENT & HART Databases,General Dynamics,OBIM,58100000,76000000,149800000,58700000,12600000,4800000
Type of Biometric Collection or Technology,IDENT & HART Databases,Peraton,"OBIM, Chief Information Officer",,26800000,28700000,29000000,10100000,38000000
Type of Biometric Collection or Technology,IDENT & HART Databases,Science Applications International Corporation,S&T,,13100000,14200000,6000000,,19000
Type of Biometric Collection or Technology,IDENT & HART Databases,Amazon,Chief Information Officer,,,7500000,5000000,,
Type of Biometric Collection or Technology,IDENT & HART Databases,Computer World Services,OBIM,,111000,1900000,,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,Penlink,"CBP, ICE",2900000,2900000,1400000,1400000,813000,587000
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,Babel Street,"CBP, ICE, USSS",10300000,,3600000,3600000,929000,4700000
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,Techops Specialty Vehicles,ICE,826000,818000,,,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,Relx (Lexis Nexis),USSS,,,95000,45000,140000,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,Motorola,CBP,,94000,59000,,,
Type of Location Tracking,License plate readers (LPR) and LPR data,Thomson Reuters,ICE,,,,,,579000
Type of Location Tracking,License plate readers (LPR) and LPR data,Thundercat Technology,CBP,,,,,,425000
Type of Location Tracking,License plate readers (LPR) and LPR data,Widepoint Integrated Solutions,CBP,,209000,462000,,,
Type of Location Tracking,License plate readers (LPR) and LPR data,Vetted Security Solutions,"ICE, CBP",,25000,40000,34000,,
Type of Location Tracking,License plate readers (LPR) and LPR data,Motorola,ICE,,95000,,,,
Type of Location Tracking,Other vehicle tracking,Berla,CBP,,210000,148000,258000,425000,
Type of Location Tracking,Other vehicle tracking,Starchase,CBP,,,,,250000,
Type of Phone Access Tools,Digital forensics,Cellebrite,"ICE, CBP, USSS",524000,14400000,15200000,10700000,7500000,7200000
Type of Phone Access Tools,Digital forensics,Magnet Forensics,"ICE, USCIS, USSS",1900000,6800000,10400000,,,
Type of Phone Access Tools,Digital forensics,Panamerica Computers,"ICE, USSS",,6400000,1200000,,,
Type of Phone Access Tools,Digital forensics,MSAB,CBP,,1100000,,1100000,698000,940000
Type of Phone Access Tools,Digital forensics,Griffeye,ICE,,915000,876000,837000,799000,601000
Type of Phone Access Tools,Digital forensics,GetData,"ICE, USSS",177000,789000,633000,431000,278000,379000
Type of Phone Access Tools,Digital forensics,Magnet Forensics & Cyber Triage,USSS,,,1300000,,,
Type of Phone Access Tools,Digital forensics,Passware,"ICE, USSS",41000,288000,252000,216000,51000,
Type of Phone Access Tools,Digital forensics,Oxygen Forensics,ICE,,63000,63000,64000,89000,397000
Type of Phone Access Tools,Digital forensics,Cyber Triage,USSS,,,,,327000,327000
