Category,Surveillance Type,Description,Link 1 word,Link 1 link,Link 2 word,Link 2 link,Link 3 word,Link 3 link
Type of Biometric Collection or Technology,Facial recognition,"Agents use facial recognition in real time to obtain the identities of people they encounter on patrol, and analysts use the technology to identify individuals from pictures and videos during subsequent investigations. ",,,,,,
Type of Biometric Collection or Technology,Iris scans,BI2 provides a mobile app to ICE's deportation arm that scans irises and links them to a database of previous iris scans for real-time identification.,,,,,,
Type of Biometric Collection or Technology,Fingerprints,DHS uses fingerprints to identify people during raids and to search FBI and Department of Defense databases for identity information.,,,,,,
Type of Biometric Collection or Technology,DNA tests,"DHS has taken DNA from arrested protesters and intends to use rapid DNA tests to examine the familial relationships of immigrants, potentially paving the way for child separations.",child separations,https://research.luriechildrens.org/contentassets/47bd39c5ea3b4309845b1584e526d21e/ja-one-pager-idp-8sep21.pdf,,,,
Type of Biometric Collection or Technology,Integrated biometrics,"These devices collect biometric identifiers - such as fingerprint, iris, and face scans - that can be fed into DHS databases for use during current or future investigations.",devices,https://www.parsons.com/products/javelin/,,,,
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants,"DHS collects fingerprints, facial and iris scans, and DNA from applicants for identification purposes. The agency is seeking to expand collection to application sponsors, including U.S. citizens.",,,,,,
Type of Biometric Collection or Technology,IDENT & HART Databases,"The Automated Biometric Identification System (IDENT) is DHS's legacy biometrics database. The agency has been working for years to transition to the Homeland Advanced Recognition System (HART), which will have expanded capacity for collecting and sharing biometric data. Many of DHS's biometric technologies that identify potential matches, such as Mobile Fortify, are connected to IDENT/HART.",such as Mobile Fortify,https://www.biometricupdate.com/202506/new-ice-mobile-app-pushes-biometric-policing-onto-american-streets,,,,
Type of Data Analysis Tool,"Investigative Case Management (ICM), FALCON, Immigration OS, & Enhanced Leads Identification and Targeting for Enforcement (ELITE)","This suite of Palantir-designed data analysis tools ingests massive troves of data, tracks agents' investigative activities, sorts through tips, assesses where immigrants likely live, tracks visa overstays, and allows agents to quickly access data on millions of people. DHS uses the tools to identify, locate, and prioritize targets for their operations.",,,,,,
Type of Data Analysis Tool,Repository for Analytics in a Virtualized Environment (RAVEn),"This HSI system allows users to use a single query to search multiple federal databases as well as commercial and open-source information. This allows agents to create detailed profiles of any individual, including criminal suspects and immigrants.",,,,,,
Type of Data Analysis Tool,Project SAFEHAVEN,"This new tool is designed to provide DHS with real-time and historical location information and threat assessments of investigative targets, including those suspected only of illegal re-entry, although questions persist about the vendor's ability to produce such a product.",designed to,https://www.documentcloud.org/documents/28043517-april-2026-project-safe-haven-statement-of-work/?ref=levernews.com,,,,
Type of Data Analysis Tool,LeadTrac,This system is designed to investigate people suspected of violating the length or other terms of their visas by organizing disparate information about the same person into one place.,,,,,,
Type of Data Analysis Tool,ERO Data Analysis System,"This system combines prison release information, other government databases, and commercial data to locate individuals eligible for deportation.",,,,,,
Type of Data Analysis Tool,Other data analysis,"DHS utilizes numerous other commercial tools, internal systems, and AI capabilities to analyze data in its possession. This includes scoring the relative value of investigative information, cleaning databases to compile information on individuals, and drawing insights from communications records.",,,,,,
Type of Data Purchase,Social media monitoring and open-source intelligence,"DHS buys software that scrapes social media, the internet, and the dark web and then analyzes this data to link disparate pieces of information or to flag certain posts for further investigation or other action. DHS also pays contractors to screen the social media of immigrants to inform adjudications of benefit requests.",,,,,,
Type of Data Purchase,Commercial data (not including real-time location data),"DHS can purchase home addresses, credit reports, car registrations, cell phone records, and other personal information that can be used to locate and build dossiers on individuals.",,,,,,
Type of Data Purchase,Skip tracing,"ICE's deportation arm gives contractors a list of immigrants to locate, likely to speed up deportations, and the contractors attempt to confirm their home or work address using online or in-person surveillance.",contractors,https://sam.gov/workspace/contract/opp/3ff22adcf3e34b09b7e1d811036ce1bd/view,,,,
Type of Location Tracking,Remote acquisition and purchase of cell phone location information,"Using cell site simulators and commercially purchased cell phone location data - such as the data that powers geographically targeted advertisements - DHS can determine all the devices that were in a certain location at a given time (e.g., during a protest) and track specific devices over time, revealing frequented addresses, associations, and other intimate personal details. ",cell site simulators,https://www.eff.org/wp/gotta-catch-em-all-understanding-how-imsi-catchers-exploit-cell-networks,,,,
Type of Location Tracking,License plate readers (LPR) and LPR data,"Mounted at fixed locations or installed on vehicles, LPRs record the license plate and location of passing vehicles, enabling DHS to determine both a vehicle's precise location and its location over time. DHS operates its own LPRs and also obtains data from commercial and other government-operated LPR systems. Agents can use these capabilities to track criminal suspects, immigrants, or protesters.",,,,,,
Type of Location Tracking,Other vehicle tracking,"By attaching GPS monitors or using digital forensics to extract information from on-board computers, DHS can access detailed information about where cars have been.",,,,,,
Type of Phone Access Tools,Digital forensics,"Comprising both physical devices and software, these tools allow investigators to download and analyze the contents of locked devices to find evidence of criminal behavior as well as personal photos, messages, and contacts.",,,,,,
Type of Phone Access Tools,Remote hacking,"DHS officials have claimed these tools are for investigating transnational criminal organizations, but they are capable of surveilling anyone's phone contents undetected.",claimed,https://www.documentcloud.org/documents/27988741-ice-letter-response-to-congress/,undetected,https://epic.org/wp-content/uploads/2025/11/EPIC-The-Fight-to-Protect-Our-Phones.pdf?inline=1#page=12,,
Type of Phone Access Tools,Wiretaps,"Wiretaps, which require a probable cause warrant, allow investigators to intercept the contents of phone calls or electronic communications in furtherance of a criminal investigation.",require,https://bja.ojp.gov/program/it/privacy-civil-liberties/authorities/statutes/1284,,,,
Type of Video Surveillance,Drones,"Often called unmanned aerial systems, drones have been used to watch and record protests, as well as to assist during large-scale immigration raids.",watch,https://time.com/7293743/drones-los-angeles-protests-law-enforcement/,record,https://www.facebook.com/wwwICEgov/videos/ice-drone-footage-shows-anti-ice-protestors-obstructing-the-duties-of-our-office/1313270417103423/?mibextid=wwXIfr&rdid=7PM4EfZUXiN2axGO,raids,https://www.wbez.org/immigration/2025/10/01/massive-immigration-raid-on-chicago-apartment-building-leaves-residents-reeling-i-feel-defeated
Type of Video Surveillance,Body-worn and vehicle-mounted cameras,"These cameras record agents' interactions with the public from the point of view of the agent or their car. They are used to assist with investigations, prosecutions, and public media releases.",,,,,,
Type of Video Surveillance,Mobile security cameras,"HSI agents may set up these "always on" cameras wherever they assess there is no reasonable expectation of privacy, including in home yards.",always on,https://epic.org/ices-privacy-impact-assessment-on-surveillance-technologies-is-an-exercise-in-disregarding-reality/,,,,
