Category,Surveillance Type,link type,label,url
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses",WIRED: ICE and CBP’s Face-Recognition App Can’t Actually Verify Who People Are (Feb. 2026),https://www.wired.com/story/cbp-ice-dhs-mobile-fortify-face-recognition-verify-identity/
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses",NY Times: How ICE Already Knows Who Minneapolis Protesters Are (Jan. 2026),https://www.nytimes.com/2026/01/30/technology/tech-ice-facial-recognition-palantir.html
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses",404 Media: ICE’s Facial Recognition App Misidentified a Woman. Twice (Jan. 2026),https://www.404media.co/ices-facial-recognition-app-misidentified-a-woman-twice/
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","404 Media: You Can't Refuse To Be Scanned by ICE's Facial Recognition App, DHS Document Says (Oct. 2025)",https://www.404media.co/you-cant-refuse-to-be-scanned-by-ices-facial-recognition-app-dhs-document-says/
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses",404 Media: Inside ICE’s Supercharged Facial Recognition App of 200 Million Images (Jul. 2025),https://www.404media.co/inside-ices-supercharged-facial-recognition-app-of-200-million-images/
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses",NY Times: The Secretive Company That Might End Privacy as We Know It (Jan. 2020),https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html
Type of Biometric Collection or Technology,Facial recognition,"Further Information on Capabilities, Uses, and Abuses","Center on Privacy and Technology, Georgetown Law: Garbage In, Garbage Out: Face Recognition on Flawed Data (May 2019)",https://www.flawedfacedata.com/
Type of Biometric Collection or Technology,Facial recognition,"DHS Policies and Other Resources",DHS AI Use Case Inventory: CBP Mobile Fortify (DHS-2731);,https://www.dhs.gov/ai/use-case-inventory/cbp
Type of Biometric Collection or Technology,Facial recognition,"DHS Policies and Other Resources",ICE Mobile Fortify (DHS-2577);,https://www.dhs.gov/ai/use-case-inventory/ice
Type of Biometric Collection or Technology,Facial recognition,"DHS Policies and Other Resources",USSS Criminal Investigations (DHS-415);,https://www.dhs.gov/ai/use-case-inventory/usss
Type of Biometric Collection or Technology,Facial recognition,"DHS Policies and Other Resources",CBP Facial Recognition for National Security and Transnational Criminal Organizations (DHS-2729);,https://www.dhs.gov/ai/use-case-inventory/cbp
